latency,status,server,success,algorithm,workload,run_id
377.4871826171875,200,Server_C,1,round_robin,constant,1
2520.5836296081543,200,Server_A,1,round_robin,constant,1
419.7824001312256,200,Server_B,1,round_robin,constant,1
2520.5836296081543,200,Server_A,1,round_robin,constant,1
435.0154399871826,200,Server_C,1,round_robin,constant,1
3019.2742347717285,200,Server_C,1,round_robin,constant,1
960.125207901001,200,Server_B,1,round_robin,constant,1
704.7297954559326,200,Server_A,1,round_robin,constant,1
801.5434741973877,200,Server_B,1,round_robin,constant,1
907.1841239929199,200,Server_C,1,round_robin,constant,1
538.7401580810547,200,Server_A,1,round_robin,constant,1
524.9831676483154,200,Server_B,1,round_robin,constant,1
1030.3771495819092,200,Server_C,1,round_robin,constant,1
2530.426025390625,200,Server_A,1,round_robin,constant,1
758.3847045898438,200,Server_B,1,round_robin,constant,1
894.5720195770264,200,Server_A,1,round_robin,constant,1
920.1176166534424,200,Server_C,1,round_robin,constant,1
436.5804195404053,200,Server_B,1,round_robin,constant,1
780.2233695983887,200,Server_C,1,round_robin,constant,1
2528.902292251587,200,Server_A,1,round_robin,constant,1
940.9580230712891,200,Server_B,1,round_robin,constant,1
778.4924507141113,200,Server_C,1,round_robin,constant,1
603.9409637451172,200,Server_A,1,round_robin,constant,1
758.9890956878662,200,Server_B,1,round_robin,constant,1
469.7988033294678,200,Server_C,1,round_robin,constant,1
1218.9407348632812,200,Server_A,1,round_robin,constant,1
482.01966285705566,200,Server_C,1,round_robin,constant,1
1537.2567176818848,200,Server_B,1,round_robin,constant,1
911.3242626190186,200,Server_A,1,round_robin,constant,1
1522.883653640747,200,Server_B,1,round_robin,constant,1
1013.9591693878174,200,Server_C,1,round_robin,constant,1
541.3548946380615,200,Server_A,1,round_robin,constant,1
546.2219715118408,200,Server_B,1,round_robin,constant,1
440.0210380554199,200,Server_C,1,round_robin,constant,1
2542.3123836517334,200,Server_A,1,round_robin,constant,1
2048.339605331421,200,Server_B,1,round_robin,constant,1
3022.5558280944824,200,Server_C,1,round_robin,constant,1
525.4204273223877,200,Server_A,1,round_robin,constant,1
732.6009273529053,200,Server_B,1,round_robin,constant,1
1013.3476257324219,200,Server_C,1,round_robin,constant,1
2536.299228668213,200,Server_A,1,round_robin,constant,1
911.8883609771729,200,Server_B,1,round_robin,constant,1
471.569299697876,200,Server_C,1,round_robin,constant,1
522.6516723632812,200,Server_A,1,round_robin,constant,1
1538.5994911193848,200,Server_B,1,round_robin,constant,1
817.5342082977295,200,Server_C,1,round_robin,constant,1
574.9316215515137,200,Server_A,1,round_robin,constant,1
2019.7832584381104,200,Server_B,1,round_robin,constant,1
509.3531608581543,200,Server_C,1,round_robin,constant,1
562.9463195800781,200,Server_A,1,round_robin,constant,1
508.52513313293457,200,Server_B,1,round_robin,constant,1
467.205286026001,200,Server_C,1,round_robin,constant,1
481.95815086364746,200,Server_A,1,round_robin,constant,1
1561.5448951721191,200,Server_B,1,round_robin,constant,1
517.7371501922607,200,Server_C,1,round_robin,constant,1
494.31324005126953,200,Server_A,1,round_robin,constant,1
991.6868209838867,200,Server_B,1,round_robin,constant,1
484.6920967102051,200,Server_C,1,round_robin,constant,1
520.648717880249,200,Server_A,1,round_robin,constant,1
544.6164608001709,200,Server_B,1,round_robin,constant,1
3018.4011459350586,200,Server_C,1,round_robin,constant,1
538.1247997283936,200,Server_A,1,round_robin,constant,1
566.3144588470459,200,Server_B,1,round_robin,constant,1
1042.0536994934082,200,Server_C,1,round_robin,constant,1
433.246374130249,200,Server_A,1,round_robin,constant,1
839.1132354736328,200,Server_B,1,round_robin,constant,1
495.0237274169922,200,Server_C,1,round_robin,constant,1
513.2021903991699,200,Server_A,1,round_robin,constant,1
1542.3178672790527,200,Server_B,1,round_robin,constant,1
3029.843330383301,200,Server_C,1,round_robin,constant,1
475.60906410217285,200,Server_A,1,round_robin,constant,1
851.6581058502197,200,Server_B,1,round_robin,constant,1
1036.5309715270996,200,Server_C,1,round_robin,constant,1
538.1689071655273,200,Server_A,1,round_robin,constant,1
544.447660446167,200,Server_B,1,round_robin,constant,1
532.813310623169,200,Server_C,1,round_robin,constant,1
496.431827545166,200,Server_A,1,round_robin,constant,1
771.8119621276855,200,Server_B,1,round_robin,constant,1
1007.8887939453125,200,Server_C,1,round_robin,constant,1
468.40500831604004,200,Server_A,1,round_robin,constant,1
531.8241119384766,200,Server_B,1,round_robin,constant,1
2549.823999404907,200,Server_A,1,round_robin,constant,1
562.9274845123291,200,Server_C,1,round_robin,constant,1
490.46993255615234,200,Server_B,1,round_robin,constant,1
862.7350330352783,200,Server_C,1,round_robin,constant,1
444.7777271270752,200,Server_A,1,round_robin,constant,1
448.8072395324707,200,Server_B,1,round_robin,constant,1
561.051607131958,200,Server_C,1,round_robin,constant,1
496.89435958862305,200,Server_A,1,round_robin,constant,1
2027.4739265441895,200,Server_B,1,round_robin,constant,1
559.6919059753418,200,Server_C,1,round_robin,constant,1
525.8073806762695,200,Server_A,1,round_robin,constant,1
478.11388969421387,200,Server_B,1,round_robin,constant,1
526.1151790618896,200,Server_C,1,round_robin,constant,1
751.4545917510986,200,Server_A,1,round_robin,constant,1
529.1347503662109,200,Server_B,1,round_robin,constant,1
492.83456802368164,200,Server_C,1,round_robin,constant,1
477.4143695831299,200,Server_A,1,round_robin,constant,1
493.3311939239502,200,Server_B,1,round_robin,constant,1
525.2220630645752,200,Server_C,1,round_robin,constant,1
2536.2095832824707,200,Server_A,1,round_robin,constant,1
873.6600875854492,200,Server_B,1,round_robin,constant,1
525.3326892852783,200,Server_C,1,round_robin,constant,1
492.4628734588623,200,Server_A,1,round_robin,constant,1
1510.2949142456055,200,Server_B,1,round_robin,constant,1
508.2061290740967,200,Server_C,1,round_robin,constant,1
2539.2651557922363,200,Server_A,1,round_robin,constant,1
555.8645725250244,200,Server_B,1,round_robin,constant,1
520.8098888397217,200,Server_A,1,round_robin,constant,1
1013.6005878448486,200,Server_C,1,round_robin,constant,1
1046.46635055542,200,Server_B,1,round_robin,constant,1
478.1980514526367,200,Server_C,1,round_robin,constant,1
523.7932205200195,200,Server_A,1,round_robin,constant,1
540.027379989624,200,Server_B,1,round_robin,constant,1
489.52460289001465,200,Server_C,1,round_robin,constant,1
866.6808605194092,200,Server_A,1,round_robin,constant,1
1528.8643836975098,200,Server_B,1,round_robin,constant,1
915.7075881958008,200,Server_C,1,round_robin,constant,1
565.8290386199951,200,Server_A,1,round_robin,constant,1
565.1710033416748,200,Server_B,1,round_robin,constant,1
457.2763442993164,200,Server_C,1,round_robin,constant,1
966.7923450469971,200,Server_A,1,round_robin,constant,1
532.8121185302734,200,Server_B,1,round_robin,constant,1
473.4532833099365,200,Server_C,1,round_robin,constant,1
524.552583694458,200,Server_A,1,round_robin,constant,1
525.5787372589111,200,Server_B,1,round_robin,constant,1
507.5702667236328,200,Server_C,1,round_robin,constant,1
522.8626728057861,200,Server_B,1,round_robin,constant,1
571.0053443908691,200,Server_A,1,round_robin,constant,1
1032.5472354888916,200,Server_C,1,round_robin,constant,1
555.1300048828125,200,Server_A,1,round_robin,constant,1
576.1408805847168,200,Server_B,1,round_robin,constant,1
853.3158302307129,200,Server_A,1,round_robin,constant,1
491.7285442352295,200,Server_C,1,round_robin,constant,1
827.3677825927734,200,Server_B,1,round_robin,constant,1
791.1605834960938,200,Server_C,1,round_robin,constant,1
541.3086414337158,200,Server_A,1,round_robin,constant,1
524.9993801116943,200,Server_B,1,round_robin,constant,1
